,Source url,Source title,Response code,Backlinks,Domains,External links,Internal links,Last seen,internal_links_count
0,https://bookonboard.com/delta-personal-item-size/,Delta Personal Items Guide | Delta Air Baggage Fees | BookonBoard,200,378,116,31,103,2023-02-01,21
1,https://bookonboard.com/,Home revamp | Bookonboard,200,356,116,6,62,2023-02-01,1
2,https://bookonboard.com/flying-with-edibles/,Flying with edibles| Is it Safe? | Bookonboard,200,229,85,14,97,2023-01-30,10
3,https://bookonboard.com/best-solar-powered-gadgets/,10 Best solar powered gadgets for camping in 2022 | Bookonboard,200,496,81,81,70,2023-01-19,15
4,https://bookonboard.com/sun-country-baggage-fees/,Sun Country Baggage Fees & Allowance | Bookonboard,200,128,73,8,69,2023-01-19,12
5,https://bookonboard.com/covid-19-travel-restrictions-updates-2021/,COVID-19 Travel Restrictions Updates 2021 | Bookonboard,200,201,71,8,119,2023-01-29,15
6,https://bookonboard.com/turkish-airlines-baggage-fees-policy/,Turkish Airlines Baggage Fees and Policy | Bookonboard,200,100,69,10,68,2023-01-19,30
7,https://bookonboard.com/best-portable-blender/,10 Best Portable Travel Blenders in 2022 | Bookonboard,200,309,58,78,85,2023-01-19,13
8,https://bookonboard.com/united-economy-vs-basic-economy/,"United Airlines Economy vs Basic Economy, Which Is Better? | BookOnBoard",200,118,58,9,101,2023-02-01,19
9,https://bookonboard.com/allegiant-baggage-fees/,Allegiant Air Baggage Fees & Policy [2021] | Bookonboard,200,115,50,33,61,2023-01-19,12
10,https://bookonboard.com/easyjet-baggage-allowance/,"EasyJet Baggage Allowance, Sizes, Fees & Weight Policy | Bookonboard",200,63,47,6,100,2023-01-30,15
11,https://bookonboard.com/southwest-airlines-carry-on-size/,Southwest Airlines' Carry-on Luggage Size & Restrictions | BookonBoard,200,211,47,20,71,2023-01-20,18
12,https://bookonboard.com/ryanair-carry-on/,"Ryanair Baggage Allowance, Sizes, Fees & Weight Policy | Bookonboard",200,107,46,6,109,2023-01-23,14
13,https://bookonboard.com/how-to-measure-luggage/,How to Measure Luggage Dimensions for Airlines | Bookonboard,200,120,42,6,71,2023-01-19,16
14,https://bookonboard.com/hawaiian-airlines-baggage-fees/,Hawaiian Airlines Baggage Fees & Policy | Bookonboard,200,159,36,6,60,2023-01-20,12
15,https://bookonboard.com/american-airlines-carry-on-size/,American Airlines Carry-On Rules and Fees | BookonBoard,200,151,35,7,63,2023-01-19,15
16,https://bookonboard.com/which-airlines-accept-paypal-for-payment/,Which Airlines Accept Paypal For Payment? | Bookonboard,200,82,29,13,88,2023-01-26,24
17,https://bookonboard.com/resorts-in-the-united-states/,All Inclusive Resorts in the United States for Families 2020 | Bookonboard,200,94,29,15,101,2023-01-30,14
18,https://bookonboard.com/vueling-carry-on-size/,Vueling Carry on and Checked Luggage Policy | BookonBoard,200,30,24,7,86,2023-01-29,22
19,https://bookonboard.com/united-carry-on-size/,United Airlines Carry-on and Checked Luggage Policy | BookonBoard,200,54,22,28,98,2023-01-29,17
20,https://bookonboard.com/spirit-airlines-baggage-fees-policy/,Spirit Airlines Baggage Fees & Policy (2020 Update) | Bookonboard,200,39,17,15,88,2023-01-26,14
21,https://bookonboard.com/things-to-do-in-miami-at-night/,TOP 10 Things to do in Miami at night 2020 | Bookonboard,200,18,16,14,108,2023-01-29,10
22,https://bookonboard.com/lufthansa-baggage/,"Lufthansa Baggage Fees, Policy & Allowance [2021] | Bookonboard",200,27,15,6,76,2023-01-23,14
23,https://bookonboard.com/best-travel-backpack/,10 Best Travel Backpacks For Men And Women 2022 | Bookonboard,200,17,13,69,134,2023-01-20,15
24,https://bookonboard.com/north-carolina-beaches/,North Carolina Beaches - Top 5 beaches for you to visit in 2020 Bookonboard,200,26,13,15,66,2023-01-19,15
25,https://bookonboard.com/things-to-do-in-tanzania/,Top 10 Best Things to Do in Tanzania 2020 | Bookonboard,200,20,13,39,95,2023-01-30,15
26,https://bookonboard.com/american-airlines-flight-delays-compensation/,"American Airlines Flight Delays - How To Rebook, Claim Refund",200,55,12,18,101,2023-01-23,24
27,https://bookonboard.com/best-travel-accessories/,Best Travel Accessories And Gears 2022 for Men & Women | Bookonboard,200,22,12,71,113,2023-01-29,14
28,https://bookonboard.com/best-6-person-tent/,Best 6 Person Tent | Bookonboard,200,32,12,83,85,2023-01-18,14
29,https://bookonboard.com/fishing-kayak-with-motor/,10 Best Brands of Fishing Kayak with Motor | Bookonboard,200,18,12,69,114,2023-01-26,12
30,https://bookonboard.com/can-you-take-aerosols-on-a-plane/,Can You Take Aerosols on a Plane? | Bookonboard,200,20,11,11,86,2023-01-25,14
31,https://bookonboard.com/what-cant-you-bring-on-a-plane/,What Can or Can't You Bring On a Plane | Travel Advice | BookonBoard,200,24,11,7,95,2023-02-01,13
32,https://bookonboard.com/new-york-tourism/,New York Tourism - Top 10 Places to Visit in 2021 | Bookonboard,200,37,11,15,79,2023-01-19,36
33,https://bookonboard.com/category/travel-tips/,"Travel Tips, Destination Guides and Tour Hacks | BookonBoard",200,15,10,6,83,2023-01-19,861
34,https://bookonboard.com/things-to-do-in-italy/,Top Things to Do in Italy | Travel Guide by BookonBoard,200,11,9,58,98,2023-01-26,22
35,https://bookonboard.com/best-things-to-do-in-paris/,"Top 10 Best Things to do in Paris , France 2020 | Bookonboard",200,11,9,28,68,2023-01-19,11
36,https://bookonboard.com/best-vacation-spots-in-florida/,Top 10 Best Vacation Spots in Florida 2021 | Bookonboard,200,249,9,6,121,2023-01-29,24
37,https://bookonboard.com/things-to-do-in-greece/,Top 20 Best Things to Do in Greece | BookonBoard,200,17,8,24,104,2023-01-26,23
38,https://bookonboard.com/best-hiking-boots-for-women/,Best Hiking Boots for Women | Best-in-Class | BookOnBoard,200,15,8,68,148,2023-01-30,18
